iter	RMSE
136	3197.709187
137	3188.089903
138	3187.44418
139	3183.897431
140	3182.509905
141	3177.807683
142	3177.376212
143	3171.905454
144	3166.74489
145	3161.777966
146	3161.274498
147	3148.442818
148	3137.086479
149	3131.637518
150	3126.892789
151	3117.305895
152	3111.354732
153	3109.265002
154	3108.142718
155	3103.454026
156	3100.202004
157	3094.776938
158	3092.917049
159	3082.026715
160	3076.880514
161	3074.656627
162	3069.792685
163	3063.050076
164	3058.232277
165	3054.014094
166	3050.840287
167	3047.179474
168	3040.177102
169	3035.414187
170	3029.486168
171	3025.62791
172	3020.853197
173	3012.536691
174	3008.678184
175	3001.592327
176	2997.125328
177	2988.129346
178	2983.16266
179	2977.487302
180	2973.714065
181	2971.139443
182	2967.078444
183	2962.413345
184	2955.618604
185	2947.31094
186	2942.289432
187	2934.743965
188	2931.711471
189	2925.716111
190	2918.985408
191	2908.898166
192	2907.103675
193	2901.384947
194	2899.519088
195	2896.518009
196	2888.410029
197	2882.5541
198	2880.889352
199	2873.540025
200	2869.208514
201	2865.221626
202	2858.469951
203	2854.904382
204	2851.189638
205	2845.24248
206	2842.240026
207	2839.458607
208	2836.474556
209	2831.119956
210	2823.561637
211	2822.418657
212	2815.024264
213	2814.236527
214	2812.07907
215	2806.745382
216	2799.245715
217	2792.527215
218	2791.513536
219	2787.450216
220	2783.552841
221	2780.099351
222	2777.983652
223	2770.95006
224	2766.784772
225	2760.20448
226	2759.76613
227	2757.974897
228	2754.321951
229	2751.527187
230	2745.995753
231	2745.676317
232	2738.850759
233	2736.359666
234	2732.555276
235	2723.041487
236	2714.957892
237	2709.89891
238	2705.795626
239	2699.597271
240	2690.484519
241	2684.436694
242	2682.895742
243	2676.591006
244	2673.1152
245	2671.181266
246	2665.657385
247	2659.869562
248	2656.804922
249	2652.587829
250	2648.181688
251	2645.99462
252	2643.566728
253	2637.741
254	2635.838935
255	2632.035298
256	2630.299972
257	2626.827983
258	2622.199733
259	2615.389318
260	2609.824637
261	2606.649443
262	2605.79124
263	2602.838953
264	2594.830715
265	2591.140177
266	2586.791899
267	2574.850955
268	2570.730992
269	2566.682453
270	2566.115837
271	2563.682151
272	2558.697037
273	2556.931235
274	2546.067334
275	2541.30851
276	2539.044536
277	2534.411394
278	2529.203523
279	2521.465977
280	2518.526538
281	2513.418312
282	2511.188926
283	2509.919883
284	2507.856489
285	2504.545221
286	2504.082058
287	2499.12298
288	2496.417818
289	2494.46008
290	2493.145734
291	2486.016022
292	2484.387358
293	2480.568238
294	2475.562991
295	2470.97475
296	2469.397311
297	2465.952189
298	2461.185519
299	2458.67641
300	2453.759984
301	2452.238145
302	2445.215171
303	2442.683122
304	2438.251579
305	2430.016422
306	2428.0935
307	2423.053959
308	2421.375793
309	2417.292637
310	2416.847487
311	2412.888834
312	2409.169876
313	2405.034837
314	2399.87788
315	2399.214722
316	2397.229315
317	2394.593027
318	2388.538183
319	2384.423807
320	2378.850624
321	2376.35726
322	2374.941229
323	2371.024644
324	2369.26477
325	2365.518756
326	2360.4379
327	2355.116655
328	2351.764784
329	2348.150524
330	2345.344495
331	2341.651741
332	2337.227762
333	2333.723126
334	2329.414859
335	2325.68699
336	2324.768293
337	2322.028991
338	2315.735928
339	2308.848388
340	2305.916813
341	2301.02482
342	2295.427478
343	2291.02725
344	2289.600494
345	2282.17748
346	2278.16981
347	2274.123186
348	2267.891741
349	2267.364317
350	2263.931528
351	2261.049217
352	2258.392483
353	2257.107706
354	2255.833891
355	2250.093511
356	2248.453091
357	2245.341357
358	2243.10755
359	2239.105739
360	2233.978762
361	2229.57182
362	2229.135692
363	2224.87199
364	2222.385599
365	2221.034023
366	2217.690553
367	2215.256964
368	2212.947861
369	2210.305515
370	2205.642124
371	2202.865944
372	2199.75696
373	2193.329833
374	2190.04606
375	2185.888843
376	2184.95635
377	2182.721811
378	2182.416691
379	2175.55222
380	2173.326492
381	2170.188442
382	2167.841227
383	2162.951191
384	2159.018431
385	2155.290923
386	2151.266529
387	2149.301189
388	2146.583491
389	2143.029002
390	2139.418181
391	2135.449596
392	2133.982831
393	2132.693757
394	2128.386465
395	2121.781815
396	2116.049274
397	2113.107245
398	2110.757901
399	2106.783268
400	2099.748596
401	2094.614478
402	2091.321385
403	2089.987128
404	2084.118254
405	2083.431731
406	2082.311021
407	2080.079459
408	2075.365846
409	2068.462882
410	2064.960908
411	2062.388218
412	2062.279127
413	2062.166063
414	2061.73193
415	2058.31623
416	2053.54073
417	2052.451788
418	2051.200393
419	2048.385802
420	2045.664748
421	2041.178306
422	2034.576509
423	2031.006955
424	2028.218662
425	2027.07862
426	2023.835615
427	2015.072379
428	2011.948426
429	2009.548718
430	2007.441449
431	2005.721772
432	2003.72866
433	1998.039057
434	1995.408535
435	1993.103683
436	1991.896061
437	1988.935743
438	1986.999723
439	1984.29704
440	1982.913925
441	1978.232309
442	1973.234802
443	1970.816852
444	1968.019279
445	1965.10558
446	1962.590423
447	1959.186707
448	1955.115571
449	1949.524722
450	1947.12168
451	1945.121035
452	1940.303033
453	1938.380525
454	1935.204133
455	1928.470967
456	1921.914227
457	1918.650428
458	1914.811885
459	1912.512296
460	1909.77607
461	1907.111134
462	1905.520141
463	1904.557478
464	1903.895657
465	1901.541063
466	1899.708602
467	1895.88844
468	1891.563215
469	1890.310183
470	1887.136158
471	1886.311972
472	1882.841719
473	1880.089275
474	1877.558588
475	1874.223481
476	1872.418541
477	1870.829943
478	1868.902579
479	1865.045192
480	1862.579773
481	1860.220159
482	1856.410729
483	1854.488431
484	1852.670176
485	1852.52591
486	1852.10737
487	1851.57342
488	1848.966668
489	1848.16671
490	1846.477262
491	1842.07805
492	1838.686555
493	1836.171667
494	1834.889473
495	1834.224174
496	1831.182863
497	1829.452472
498	1825.789546
499	1823.820827
500	1821.616735
501	1818.210563
502	1817.030788
503	1813.710319
504	1812.072364
505	1810.243288
506	1807.787387
507	1805.766006
508	1804.825918
509	1802.634436
510	1800.976529
511	1799.503839
512	1796.873876
513	1794.30757
514	1792.791506
515	1788.570811
516	1784.50984
517	1782.936534
518	1779.717673
519	1775.599922
520	1773.961391
521	1772.154485
522	1770.766559
523	1769.058409
524	1765.797514
525	1762.642392
526	1762.128074
527	1759.928693
528	1757.022717
529	1754.238395
530	1751.551596
531	1747.45821
532	1743.626431
533	1737.411529
534	1735.682883
535	1733.260032
536	1731.76071
537	1730.750815
538	1729.030202
539	1727.716229
540	1725.185954
541	1721.760134
542	1719.652385
543	1718.106998
544	1717.714819
545	1714.722224
546	1712.505801
547	1710.81026
548	1707.912615
549	1706.168056
550	1703.911644
551	1701.978254
552	1701.007223
553	1697.929914
554	1696.469515
555	1694.163317
556	1692.534901
557	1691.409818
558	1687.177908
559	1685.183692
560	1684.416414
561	1682.827677
562	1681.355655
563	1678.695656
564	1677.988376
565	1675.183543
566	1673.327066
567	1670.663518
568	1669.249815
569	1667.122945
570	1664.586198
571	1662.876201
572	1660.31915
573	1659.665547
574	1657.813132
575	1655.805197
576	1654.526088
577	1652.726807
578	1650.497288
579	1648.65609
580	1646.918033
581	1645.44559
582	1643.103628
583	1640.753642
584	1638.101714
585	1635.481641
586	1634.206795
587	1630.526052
588	1629.293163
589	1627.994646
590	1625.783882
591	1624.562218
592	1622.859488
593	1620.757505
594	1620.119853
595	1618.084235
596	1615.250462
597	1612.939759
598	1607.719747
599	1607.138538
600	1604.920881
601	1602.694688
602	1601.534956
603	1597.731831
604	1596.751104
605	1595.788877
606	1593.087132
607	1590.501208
608	1588.656622
609	1585.686083
610	1583.793544
611	1581.030533
612	1578.858884
613	1576.748542
614	1575.458057
615	1573.947127
616	1572.073821
617	1570.295896
618	1567.382166
619	1563.145811
620	1561.949751
621	1560.207151
622	1557.998893
623	1556.581759
624	1555.58388
625	1552.799153
626	1551.327926
627	1549.657371
628	1549.3514
629	1548.335087
630	1547.061567
631	1546.487769
632	1543.933255
633	1541.76487
634	1539.665219
635	1537.922292
636	1537.507658
637	1535.745068
638	1534.08964
639	1531.712246
640	1530.109508
641	1529.168074
642	1528.725577
643	1527.745556
644	1525.759825
645	1524.566366
646	1523.436207
647	1521.991531
648	1520.117674
649	1517.937286
650	1516.728343
651	1515.627742
652	1515.334083
653	1512.9255
654	1510.504718
655	1508.274683
656	1506.761809
657	1505.555518
658	1503.540656
659	1502.304084
660	1499.782165
661	1497.990035
662	1497.322619
663	1495.819179
664	1493.649183
665	1492.695718
666	1490.83679
667	1489.436615
668	1487.313239
669	1485.865391
670	1483.282342
671	1482.022177
672	1480.935615
673	1479.620929
674	1477.741957
675	1476.373136
676	1473.702321
677	1469.89718
678	1467.814252
679	1466.226084
680	1466.122331
681	1463.714176
682	1460.844463
683	1459.720087
684	1457.305933
685	1456.049807
686	1454.736216
687	1452.875709
688	1450.364716
689	1449.276517
690	1447.68686
691	1441.357462
692	1440.99984
693	1438.535811
694	1437.80866
695	1435.748839
696	1433.672293
697	1432.068049
698	1429.115042
699	1426.195255
700	1422.676903
701	1421.542027
702	1420.381491
703	1419.345705
704	1417.402562
705	1415.203701
706	1413.843246
707	1412.134453
708	1410.94597
709	1407.494448
710	1400.839755
711	1400.767588
712	1398.505416
713	1396.449196
714	1395.318221
715	1393.66434
716	1392.005483
717	1390.615174
718	1387.860339
719	1386.510171
720	1383.393273
721	1381.636709
722	1379.15202
723	1376.743936
724	1375.491073
725	1373.074692
726	1370.908341
727	1368.684459
728	1367.560757
729	1366.38356
730	1365.477426
731	1364.476073
732	1363.166679
733	1360.877708
734	1359.23252
735	1357.323493
736	1356.508018
737	1354.710054
738	1354.30584
739	1352.692157
740	1351.780442
741	1350.140067
742	1348.51725
743	1347.385389
744	1344.868615
745	1343.586078
746	1341.326129
747	1338.987173
748	1335.883869
749	1334.029799
750	1333.08587
751	1331.442937
752	1329.268187
753	1327.419522
754	1326.232054
755	1325.039764
756	1324.625532
757	1323.568969
758	1320.9144
759	1320.860864
760	1318.646314
761	1317.533765
762	1314.137498
763	1313.107404
764	1311.841606
765	1309.758228
766	1308.429161
767	1306.602712
768	1305.646806
769	1304.326988
770	1303.286429
771	1302.308644
772	1299.864721
773	1297.796141
774	1296.989092
775	1294.923352
776	1293.127025
777	1291.867807
778	1290.849136
779	1289.822975
780	1286.764443
781	1285.469069
782	1283.882968
783	1282.047824
784	1280.208998
785	1278.649002
786	1278.149219
787	1277.357479
788	1275.41277
789	1274.928776
790	1273.370141
791	1272.55549
792	1271.276283
793	1269.31292
794	1268.064418
795	1267.440195
796	1266.402314
797	1265.285292
798	1263.693308
799	1262.632328
800	1261.80511
801	1259.595832
802	1258.00686
803	1257.014938
804	1256.172265
805	1254.69008
806	1253.471433
807	1251.555049
808	1250.255848
809	1248.590305
810	1248.112334
811	1245.992342
812	1244.832503
813	1242.555045
814	1242.506876
815	1238.672134
816	1237.365666
817	1235.543849
818	1234.952944
819	1233.73854
820	1232.860119
821	1229.657017
822	1228.231964
823	1227.524414
824	1226.078898
825	1224.165138
826	1223.245777
827	1222.121742
828	1220.882804
829	1219.546755
830	1217.926952
831	1217.683479
832	1215.221737
833	1214.503983
834	1213.400649
835	1210.73713
836	1210.382212
837	1209.323909
838	1208.570738
839	1207.22949
840	1205.588902
841	1204.228035
842	1203.929512
843	1202.91341
844	1202.480267
845	1200.649704
846	1200.605824
847	1198.176152
848	1196.652465
849	1194.661574
850	1193.111849
851	1192.036223
852	1190.656089
853	1189.183437
854	1187.982701
855	1187.930803
856	1186.835089
857	1185.817324
858	1184.428458
859	1183.149693
860	1182.019382
861	1180.974367
862	1178.027459
863	1176.516858
864	1175.737593
865	1174.599402
866	1173.809894
867	1172.537082
868	1171.75894
869	1169.850217
870	1168.439225
871	1167.65357
872	1166.389015
873	1162.797036
874	1162.130547
875	1161.224102
876	1159.678164
877	1158.658337
878	1155.254242
879	1153.672125
880	1152.693261
881	1151.43552
882	1150.1979
883	1149.272154
884	1147.706513
885	1146.146171
886	1145.44867
887	1144.163358
888	1143.233303
889	1139.971528
890	1138.17231
891	1135.972281
892	1134.875909
893	1134.242227
894	1133.451547
895	1133.215518
896	1132.454942
897	1132.03957
898	1131.211252
899	1131.029532
900	1129.79915
901	1128.181699
902	1127.220661
903	1127.072039
904	1125.94384
905	1124.617887
906	1123.521735
907	1122.549661
908	1120.075378
909	1119.024339
910	1118.05602
911	1116.886225
912	1116.519878
913	1116.315887
914	1115.498975
915	1112.434005
916	1111.032675
917	1110.27055
918	1108.549387
919	1107.402807
920	1106.385491
921	1103.471449
922	1102.7484
923	1100.747631
924	1100.717028
925	1099.61005
926	1097.093714
927	1095.341924
928	1092.966403
929	1092.38646
930	1091.475131
931	1088.96101
932	1088.161548
933	1087.14965
934	1085.235958
935	1083.080845
936	1082.672029
937	1081.539151
938	1079.377828
939	1078.30194
940	1077.310567
941	1075.159939
942	1074.406183
943	1073.710853
944	1072.448198
945	1070.679914
946	1069.129844
947	1067.857812
948	1066.758425
949	1064.23456
950	1063.538009
951	1061.987448
952	1061.092211
953	1059.91095
954	1058.635929
955	1057.291824
956	1056.049656
957	1055.235352
958	1054.238672
959	1052.539304
960	1052.208067
961	1050.59458
962	1050.15519
963	1049.126476
964	1046.427568
965	1045.272341
966	1043.666421
967	1042.795825
968	1041.387344
969	1040.045692
970	1039.346266
971	1038.702701
972	1037.266575
973	1036.108743
974	1035.343464
975	1034.446154
976	1032.906445
977	1031.860572
978	1030.746419
979	1029.958779
980	1029.696532
981	1028.585323
982	1027.47886
983	1026.457467
984	1026.391267
985	1025.791366
986	1023.662273
987	1022.18486
988	1021.003806
989	1019.872717
990	1019.017649
991	1017.628519
992	1016.216992
993	1014.929483
994	1013.755839
995	1012.784871
996	1012.124231
997	1010.740382
998	1010.283767
999	1009.122607
